ID,SegmentID,Roadway Name,From,To,Direction,Date,Veh Class Type,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM
1,152031,34 Avenue,113 Street,114 Street,WB,10/29/2014,Auto,,,,,,,,,,,,,,,,,,,,,58,61,42,17
1,152031,34 Avenue,113 Street,114 Street,WB,10/29/2014,Taxis,,,,,,,,,,,,,,,,,,,,,3,4,1,4
1,152031,34 Avenue,113 Street,114 Street,WB,10/29/2014,Commercial,,,,,,,,,,,,,,,,,,,,,0,1,1,2
1,152031,34 Avenue,113 Street,114 Street,WB,10/29/2014,Medium Truck,,,,,,,,,,,,,,,,,,,,,0,0,0,2
1,152031,34 Avenue,113 Street,114 Street,WB,10/29/2014,Heavy Truck,,,,,,,,,,,,,,,,,,,,,0,0,0,0
1,152031,34 Avenue,113 Street,114 Street,WB,10/29/2014,School Bus,,,,,,,,,,,,,,,,,,,,,0,0,0,0
1,152031,34 Avenue,113 Street,114 Street,WB,10/29/2014,Other Bus,,,,,,,,,,,,,,,,,,,,,0,0,0,0
1,152031,34 Avenue,113 Street,114 Street,WB,10/30/2014,Auto,19,9,2,5,7,12,76,161,167,145,101,85,53,76,111,113,116,105,102,80,,,,
1,152031,34 Avenue,113 Street,114 Street,WB,10/30/2014,Taxis,2,1,1,2,1,2,7,8,11,9,2,6,3,4,9,13,5,9,6,1,,,,
1,152031,34 Avenue,113 Street,114 Street,WB,10/30/2014,Commercial,0,2,0,0,2,0,3,0,1,4,3,7,6,6,6,7,5,4,0,1,,,,
1,152031,34 Avenue,113 Street,114 Street,WB,10/30/2014,Medium Truck,0,0,0,0,0,0,0,0,0,2,0,1,2,1,0,4,1,1,0,1,,,,
1,152031,34 Avenue,113 Street,114 Street,WB,10/30/2014,Heavy Truck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1,152031,34 Avenue,113 Street,114 Street,WB,10/30/2014,School Bus,0,0,0,0,0,0,13,7,1,0,0,0,1,5,3,7,0,0,0,0,,,,
1,152031,34 Avenue,113 Street,114 Street,WB,10/30/2014,Other Bus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,
1,152030,34 Avenue,113 Street,114 Street,EB,10/29/2014,Auto,,,,,,,,,,,,,,,,,,,,,273,202,156,133
1,152030,34 Avenue,113 Street,114 Street,EB,10/29/2014,Taxis,,,,,,,,,,,,,,,,,,,,,7,25,19,12
1,152030,34 Avenue,113 Street,114 Street,EB,10/29/2014,Commercial,,,,,,,,,,,,,,,,,,,,,13,3,8,1
1,152030,34 Avenue,113 Street,114 Street,EB,10/29/2014,Medium Truck,,,,,,,,,,,,,,,,,,,,,0,0,0,0
1,152030,34 Avenue,113 Street,114 Street,EB,10/29/2014,Heavy Truck,,,,,,,,,,,,,,,,,,,,,0,0,0,0
1,152030,34 Avenue,113 Street,114 Street,EB,10/29/2014,School Bus,,,,,,,,,,,,,,,,,,,,,0,0,0,0
1,152030,34 Avenue,113 Street,114 Street,EB,10/29/2014,Other Bus,,,,,,,,,,,,,,,,,,,,,0,0,0,0
1,152030,34 Avenue,113 Street,114 Street,EB,10/30/2014,Auto,69,38,35,30,64,111,184,333,296,258,224,230,288,288,482,355,330,432,444,361,,,,
1,152030,34 Avenue,113 Street,114 Street,EB,10/30/2014,Taxis,19,2,9,7,9,12,10,31,43,32,19,13,24,22,34,25,21,27,24,14,,,,
1,152030,34 Avenue,113 Street,114 Street,EB,10/30/2014,Commercial,2,5,1,3,4,2,8,16,9,6,10,15,13,18,16,13,8,12,9,11,,,,
1,152030,34 Avenue,113 Street,114 Street,EB,10/30/2014,Medium Truck,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,1,3,1,1,,,,
