SiteID,Latitude,Longitude,SiteName,Address,lon,lat,site_agency,site_name,nyc_id,aqs_id,aqs_id_full
36061NY08454,40.71651,-73.997004,Manhattan Bridge,Canal St SS1E of Elizabeth St,-73.997004,40.71651,NYC,Manhattan Bridge,36061NY08454,999999991,840999999991
36005NY11790,40.819092,-73.885659,Hunts Point,Southeast Corner of Seneca Ave and Longfellow Ave,-73.885659,40.819092,NYC,Hunts Point,36005NY11790,999999992,840999999992
36081NY08198,40.707112785660385,-73.87340005966904,Glendale,Cooper Rapid Rehousing Center - 78-16 Cooper Ave,-73.87340005966904,40.707112785660385,NYC,Glendale,36081NY08198,999999993,840999999993
36081NY09285,40.737107,-73.821556,Queens College,Queens College Reference Site,-73.821556,40.737107,NYC,Queens College,36081NY09285,999999994,840999999994
36061NY09734,40.75069,-73.98783,Broadway/35th St,Broadway ES1N of 35th St,-73.98783,40.75069,NYC,Broadway/35th St,36061NY09734,999999995,840999999995
36061NY08653,40.722288,-73.974651,FDR,Southbound FDR access Road between E 10th St and E 6th St,-73.974651,40.722288,NYC,FDR,36061NY08653,999999996,840999999996
36005NY11534,40.806486,-73.922487,Mott Haven,North side of E 135th St between Brown Pl and Willis Ave,-73.922487,40.806486,NYC,Mott Haven,36005NY11534,999999997,840999999997
36005NY12387,40.845166999999996,-73.906143,Cross Bronx Expy,Cross Bronx Expressway Service road NS1E of Monroe Avenue (between Monroe and Topping),-73.906143,40.845166999999996,NYC,Cross Bronx Expy,36005NY12387,999999998,840999999998
36081NY07615,40.690155,-73.80908,Van Wyck,Northbound Van Wyck Expy access road between 106th Ave and 142nd St,-73.80908,40.690155,NYC,Van Wyck,36081NY07615,999999999,840999999999
36081NY09285B,40.737107,-73.821556,Queens College,Queens College Reference Site,-73.821556,40.737107,NYC,Queens College,36081NY09285B,999999910,840999999910
36047NY07974,40.702798,-73.960824,BQE,West side of Williamsburg St W between Bedford Ave and Wythe Ave,-73.960824,40.702798,NYC,BQE,36047NY07974,999999911,840999999911
36047NY08274,40.710614,-73.95938,Williamsburg,S 4th St NS 1E of Roebling St,-73.95938,40.710614,NYC,Williamsburg,36047NY08274,999999912,840999999912
36061NY10130,40.761234,-73.963886,Queensboro Bridge,60 St NS1E of 2nd Ave,-73.963886,40.761234,NYC,Queensboro Bridge,36061NY10130,999999913,840999999913
36061NY08552,40.718073,-73.986059,Williamsburg Bridge,Delancey St NS 1E of Suffolk St,-73.986059,40.718073,NYC,Williamsburg Bridge,36061NY08552,999999914,840999999914
36061NY12380,40.846544,-73.933023,Hamilton Bridge,North side of W 178th St between Audubon Ave and Amsterdam Ave,-73.933023,40.846544,NYC,Hamilton Bridge,36061NY12380,999999915,840999999915
36061NY09929,40.755082,-73.990415,Midtown-DOT,N Side of W 39th between 8th and 7th Ave,-73.990415,40.755082,NYC,Midtown-DOT,36061NY09929,999999916,840999999916
36085NY04805,40.627925,-74.145883,Port Richmond,East side of Willow Rd W between St. Adalbert Pl S and Dixon Ave,-74.145883,40.627925,NYC,Port Richmond,36085NY04805,999999917,840999999917
36085NY03820,40.609209,-74.151182,SI Expwy,South side of Victory Blvd between Gannon Ave S and I-278 (in front of staging area),-74.151182,40.609209,NYC,SI Expwy,36085NY03820,999999918,840999999918
