model,att,se_att,t,df,p_value,stars,type,area,aqs_id_full,week,month,spec
cbsa1,-1.2186676140596577,0.0034054370135872558,-357.8593904974107,6257,0,***,overall,NA,NA,NA,NA,1
cbsa1,-1.2131593235344553,0.0060662947899638945,-199.98357573085823,1936,0,***,per_area,cbsa,NA,NA,NA,1
cbsa1,-1.2257316726517762,0.009062782622148973,-135.24893222707905,893,0,***,per_area,crz,NA,NA,NA,1
cbsa1,-1.2200705278112225,0.0046130824803176824,-264.48053617441536,3426,0,***,per_area,nyc,NA,NA,NA,1
cbsa1,-1.2434289266594964,0.022795236311249106,-54.54775329729234,148,0,***,per_sensor,NA,840340030010,NA,NA,1
cbsa1,-1.2132015976707573,0.02175474960226628,-55.76720577580784,148,0,***,per_sensor,NA,840340170008,NA,NA,1
cbsa1,-1.2278265338896128,0.022057934673466794,-55.66371249464935,148,0,***,per_sensor,NA,840340171003,NA,NA,1
cbsa1,-1.204014718843887,0.02170440095957957,-55.473298760290206,148,0,***,per_sensor,NA,840340190001,NA,NA,1
cbsa1,-1.201269325538148,0.021770677539958518,-55.17831603234691,148,0,***,per_sensor,NA,840340230011,NA,NA,1
cbsa1,-1.2170197461124785,0.021755576612104584,-55.94058791507006,148,0,***,per_sensor,NA,840340273001,NA,NA,1
cbsa1,-1.1895761411130295,0.021823883270343153,-54.50799595915933,148,0,***,per_sensor,NA,840340292002,NA,NA,1
cbsa1,-1.2052209501703683,0.021618246372528113,-55.75017184103937,148,0,***,per_sensor,NA,840340310005,NA,NA,1
cbsa1,-1.2286351273132743,0.022156627007676663,-55.452263870650796,148,0,***,per_sensor,NA,840340390004,NA,NA,1
cbsa1,-1.2049728488306781,0.02163133238626304,-55.70497588007548,148,0,***,per_sensor,NA,840340392003,NA,NA,1
cbsa1,-1.2028259229909009,0.021650475679804614,-55.556558700134566,148,0,***,per_sensor,NA,840360050080,NA,NA,1
cbsa1,-1.2070666104923522,0.02166998788438804,-55.70222821222587,148,0,***,per_sensor,NA,840360050110,NA,NA,1
cbsa1,-1.2057344463484325,0.021621096422033855,-55.76657274048692,148,0,***,per_sensor,NA,840360050112,NA,NA,1
cbsa1,-1.2262388036312872,0.022017121682581672,-55.69478251107624,148,0,***,per_sensor,NA,840360470052,NA,NA,1
cbsa1,-1.1861791631883305,0.021879159876992654,-54.21502333074837,148,0,***,per_sensor,NA,840360470118,NA,NA,1
cbsa1,-1.216331399642378,0.021719363844724077,-56.00216508817504,148,0,***,per_sensor,NA,840360610115,NA,NA,1
cbsa1,-1.2014346409243246,0.021626556996263476,-55.5536714018742,148,0,***,per_sensor,NA,840360610135,NA,NA,1
cbsa1,-1.2229741967866448,0.02190220908355081,-55.837938178808344,148,0,***,per_sensor,NA,840360810120,NA,NA,1
cbsa1,-1.2101021003162922,0.02167709856783696,-55.82398846088015,148,0,***,per_sensor,NA,840360810124,NA,NA,1
