date,Region,Value,running_var
2019-05-07,Outside CBD,5.135,-68.0082135523614
2019-05-08,Outside CBD,5.88,-67.97535934291581
2019-05-13,Outside CBD,7.226666666666667,-67.81108829568788
2019-05-18,Outside CBD,4.67,-67.64681724845995
2019-05-20,Outside CBD,10.08,-67.58110882956879
2019-05-24,Outside CBD,3.905,-67.44969199178645
2019-05-27,Outside CBD,4.663333333333333,-67.35112936344969
2019-05-28,Outside CBD,7.215,-67.31827515400411
2019-05-29,Outside CBD,9.8625,-67.28542094455852
2019-05-30,Outside CBD,14.1,-67.25256673511294
2019-05-31,Outside CBD,10.646666666666667,-67.21971252566735
2019-06-01,Outside CBD,13.323333333333332,-67.18685831622176
2019-06-02,Outside CBD,15.026666666666667,-67.15400410677618
2019-06-03,Outside CBD,4.733333333333333,-67.1211498973306
2019-06-04,Outside CBD,3.9650000000000003,-67.08829568788501
2019-06-05,Outside CBD,11.818333333333333,-67.05544147843942
2019-06-06,Outside CBD,5.29,-67.02258726899385
2019-06-07,Outside CBD,8.283333333333333,-66.98973305954826
2019-06-08,Outside CBD,5.288,-66.95687885010267
2019-06-09,Outside CBD,4.391666666666667,-66.92402464065708
2019-06-10,Outside CBD,6.711666666666667,-66.89117043121149
2019-06-11,Outside CBD,4.226666666666667,-66.85831622176592
2019-06-12,Outside CBD,4.0649999999999995,-66.82546201232033
2019-06-13,Outside CBD,3.2216666666666667,-66.79260780287474
2019-06-14,Outside CBD,3.796666666666667,-66.75975359342915
2019-06-15,Outside CBD,5.3,-66.72689938398358
2019-06-16,Outside CBD,8.441666666666666,-66.69404517453799
2019-06-17,Outside CBD,7.373333333333333,-66.6611909650924
2019-06-18,Outside CBD,16.505,-66.62833675564681
2019-06-19,Outside CBD,7.726666666666667,-66.59548254620123
2019-06-20,Outside CBD,20.25,-66.56262833675565
2019-06-21,Outside CBD,4.173333333333333,-66.52977412731006
2019-06-22,Outside CBD,4.083333333333333,-66.49691991786447
2019-06-23,Outside CBD,4.826666666666666,-66.46406570841889
2019-06-24,Outside CBD,5.59,-66.43121149897331
2019-06-25,Outside CBD,17.418333333333333,-66.39835728952772
2019-06-26,Outside CBD,6.028333333333333,-66.36550308008214
2019-06-27,Outside CBD,5.952,-66.33264887063655
2019-06-28,Outside CBD,8.855,-66.29979466119096
2019-06-29,Outside CBD,8.258333333333333,-66.26694045174538
2019-06-30,Outside CBD,7.303333333333334,-66.2340862422998
2019-07-01,Outside CBD,6.611666666666666,-66.20123203285421
2019-07-02,Outside CBD,6.355,-66.16837782340862
2019-07-03,Outside CBD,11.07,-66.13552361396304
2019-07-04,Outside CBD,7.745,-66.10266940451746
2019-07-05,Outside CBD,9.861666666666666,-66.06981519507187
2019-07-06,Outside CBD,16.415,-66.03696098562628
2019-07-07,Outside CBD,15.235,-66.00410677618069
2019-07-08,Outside CBD,7.2316666666666665,-65.97125256673512
2019-07-09,Outside CBD,8.086666666666666,-65.93839835728953
2019-07-10,Outside CBD,18.596666666666668,-65.90554414784394
2019-07-11,Outside CBD,6.683333333333334,-65.87268993839835
2019-07-12,Outside CBD,9.6033333333333335,-65.83983572895278
2019-07-13,Outside CBD,9.256666666666668,-65.80698151950719
2019-07-14,Outside CBD,9.629999999999999,-65.7741273100616
2019-07-15,Outside CBD,4.928333333333334,-65.74127310061601
2019-07-16,Outside CBD,8.711666666666666,-65.70841889117042
2019-07-17,Outside CBD,18.41,-65.67556468172485
2019-07-18,Outside CBD,12.280000000000001,-65.64271047227926
2019-07-19,Outside CBD,17.073333333333334,-65.60985626283367
2019-07-20,Outside CBD,10.973333333333333,-65.57700205338809
2019-07-21,Outside CBD,10.251666666666667,-65.54414784394251
2019-07-22,Outside CBD,7.078333333333333,-65.51129363449692
2019-07-23,Outside CBD,3.2,-65.47843942505133
2019-07-24,Outside CBD,7.991666666666666,-65.44558521560575
2019-07-25,Outside CBD,9.517777777777777,-65.41273100616016
2019-07-26,Outside CBD,10.735555555555555,-65.37987679671458
2019-07-27,Outside CBD,12.165555555555555,-65.347022587269
2019-07-28,Outside CBD,12.553333333333333,-65.3141683778234
2019-07-29,Outside CBD,15.658888888888889,-65.28131416837782
2019-07-30,Outside CBD,17.09888888888889,-65.24845995893224
2019-07-31,Outside CBD,17.34777777777778,-65.21560574948666
2019-08-01,Outside CBD,6.492222222222222,-65.18275154004107
2019-08-02,Outside CBD,11.017142857142858,-65.14989733059548
2019-08-03,Outside CBD,8.767777777777777,-65.11704312114989
2019-08-04,Outside CBD,8.15,-65.08418891170432
2019-08-05,Outside CBD,7.056666666666667,-65.05133470225873
2019-08-06,Outside CBD,15.362222222222222,-65.01848049281314
2019-08-07,Outside CBD,13.057777777777778,-64.98562628336755
2019-08-08,Outside CBD,14.276666666666666,-64.95277207392198
2019-08-09,Outside CBD,7.976666666666667,-64.91991786447639
2019-08-10,Outside CBD,4.803333333333334,-64.8870636550308
2019-08-11,Outside CBD,4.906666666666666,-64.85420944558521
2019-08-12,Outside CBD,6.874444444444444,-64.82135523613962
2019-08-13,Outside CBD,12.459999999999999,-64.78850102669405
2019-08-14,Outside CBD,20.935555555555556,-64.75564681724846
2019-08-15,Outside CBD,14.012222222222222,-64.72279260780287
2019-08-16,Outside CBD,10.794444444444444,-64.68993839835728
2019-08-17,Outside CBD,9.49,-64.65708418891171
2019-08-18,Outside CBD,14.887777777777778,-64.62422997946612
