date,Region,Value,running_var
2019-06-07,CBD,9.663333333333334,-66.98973305954826
2019-06-08,CBD,17.433333333333334,-66.95687885010267
2019-06-09,CBD,5.398333333333333,-66.92402464065708
2019-06-10,CBD,6.003333333333334,-66.89117043121149
2019-06-11,CBD,10.986666666666666,-66.85831622176592
2019-06-12,CBD,6.1466666666666665,-66.82546201232033
2019-06-13,CBD,4.7299999999999995,-66.79260780287474
2019-06-14,CBD,11.186666666666667,-66.75975359342915
2019-06-15,CBD,6.425,-66.72689938398358
2019-06-16,CBD,9.388333333333334,-66.69404517453799
2019-06-17,CBD,9.211666666666666,-66.6611909650924
2019-06-18,CBD,26.207500000000003,-66.62833675564681
2019-06-19,CBD,26.86,-66.59548254620123
2019-06-20,CBD,10.841666666666667,-66.56262833675565
2019-06-21,CBD,6.68,-66.52977412731006
2019-06-22,CBD,5.483333333333333,-66.49691991786447
2019-06-23,CBD,4.595,-66.46406570841889
2019-06-24,CBD,5.473333333333334,-66.43121149897331
2019-06-25,CBD,8.358333333333334,-66.39835728952772
2019-06-26,CBD,11.86,-66.36550308008214
2019-06-27,CBD,6.55,-66.33264887063655
2019-06-28,CBD,6.956666666666667,-66.29979466119096
2019-06-29,CBD,15.851666666666667,-66.26694045174538
2019-06-30,CBD,7.47,-66.2340862422998
2019-07-01,CBD,3.8366666666666664,-66.20123203285421
2019-07-02,CBD,5.51,-66.16837782340862
2019-07-03,CBD,8.961666666666666,-66.13552361396304
2019-07-04,CBD,24.528333333333332,-66.10266940451746
2019-07-05,CBD,17.02,-66.06981519507187
2019-07-06,CBD,14.241666666666667,-66.03696098562628
2019-07-07,CBD,7.215,-66.00410677618069
2019-07-08,CBD,10.183333333333334,-65.97125256673512
2019-07-09,CBD,17.745,-65.93839835728953
2019-07-10,CBD,17.261666666666667,-65.90554414784394
2019-07-11,CBD,15.776666666666667,-65.87268993839835
2019-07-12,CBD,7.4,-65.83983572895278
2019-07-13,CBD,11.218333333333334,-65.80698151950719
2019-07-14,CBD,10.38,-65.7741273100616
2019-07-15,CBD,4.976666666666667,-65.74127310061601
2019-07-16,CBD,8.033333333333333,-65.70841889117042
2019-07-17,CBD,8.25,-65.67556468172485
2019-07-18,CBD,6.1899999999999995,-65.64271047227926
2019-07-19,CBD,12.811666666666667,-65.60985626283367
2019-07-20,CBD,15.76,-65.57700205338809
2019-07-21,CBD,13.378333333333334,-65.54414784394251
2019-07-22,CBD,5.718333333333334,-65.51129363449692
2019-07-23,CBD,3.7199999999999998,-65.47843942505133
2019-07-24,CBD,5.118333333333333,-65.44558521560575
2019-07-25,CBD,10.375,-65.41273100616016
2019-07-26,CBD,11.405000000000001,-65.37987679671458
2019-07-27,CBD,12.076666666666666,-65.347022587269
2019-07-28,CBD,12.486666666666666,-65.3141683778234
2019-07-29,CBD,7.133333333333333,-65.28131416837782
2019-07-30,CBD,21.155,-65.24845995893224
2019-07-31,CBD,15.298333333333332,-65.21560574948666
2019-08-01,CBD,18.436666666666667,-65.18275154004107
2019-08-02,CBD,12.295,-65.14989733059548
2019-08-03,CBD,10.65,-65.11704312114989
2019-08-04,CBD,9.148333333333333,-65.08418891170432
2019-08-05,CBD,8.303333333333335,-65.05133470225873
2019-08-06,CBD,14.563333333333333,-65.01848049281314
2019-08-07,CBD,14.355,-64.98562628336755
2019-08-08,CBD,17.086666666666666,-64.95277207392198
2019-08-09,CBD,9.64,-64.91991786447639
2019-08-10,CBD,5.32,-64.8870636550308
2019-08-11,CBD,4.815,-64.85420944558521
2019-08-12,CBD,7.498333333333333,-64.82135523613962
2019-08-13,CBD,9.618333333333332,-64.78850102669405
2019-08-14,CBD,23.173333333333332,-64.75564681724846
2019-08-15,CBD,18.376666666666665,-64.72279260780287
2019-08-16,CBD,7.806666666666667,-64.68993839835728
2019-08-17,CBD,9.415,-64.65708418891171
2019-08-18,CBD,16.101666666666667,-64.62422997946612
2019-08-19,CBD,8.33,-64.59137577002053
2019-08-20,CBD,8.108333333333334,-64.55852156057495
2019-08-21,CBD,21.355,-64.52566735112936
2019-08-22,CBD,7.3933333333333335,-64.49281314168378
2019-08-23,CBD,7.47,-64.4599589322382
