date,Region,Value,running_var
2019-05-08,Outside CBD,4.626666666666667,-67.97535934291581
2019-05-09,Outside CBD,10.263333333333334,-67.94250513347022
2019-05-13,Outside CBD,3.995,-67.81108829568788
2019-05-17,Outside CBD,8.97,-67.67967145790554
2019-05-20,Outside CBD,12.856666666666667,-67.58110882956879
2019-05-23,Outside CBD,5.09,-67.48254620123203
2019-05-24,Outside CBD,8.0216666666666665,-67.44969199178645
2019-05-25,Outside CBD,3.48,-67.41683778234086
2019-05-26,Outside CBD,4.640000000000001,-67.38398357289527
2019-05-27,Outside CBD,4.318333333333333,-67.35112936344969
2019-05-28,Outside CBD,7.085,-67.31827515400411
2019-05-29,Outside CBD,8.731666666666667,-67.28542094455852
2019-05-30,Outside CBD,8.963333333333333,-67.25256673511294
2019-05-31,Outside CBD,7.363333333333334,-67.21971252566735
2019-06-01,Outside CBD,13.533333333333333,-67.18685831622176
2019-06-02,Outside CBD,17.413333333333334,-67.15400410677618
2019-06-03,Outside CBD,8.2,-67.1211498973306
2019-06-04,Outside CBD,3.8625,-67.08829568788501
2019-06-05,Outside CBD,4.6466666666666665,-67.05544147843942
2019-06-06,Outside CBD,17.656,-67.02258726899385
2019-06-07,Outside CBD,13.133333333333333,-66.98973305954826
2019-06-08,Outside CBD,20.833333333333332,-66.95687885010267
2019-06-09,Outside CBD,5.661666666666667,-66.92402464065708
2019-06-10,Outside CBD,4.3966666666666665,-66.89117043121149
2019-06-11,Outside CBD,7.545,-66.85831622176592
2019-06-12,Outside CBD,4.625,-66.82546201232033
2019-06-13,Outside CBD,3.361666666666667,-66.79260780287474
2019-06-14,Outside CBD,8.278333333333332,-66.75975359342915
2019-06-15,Outside CBD,5.415,-66.72689938398358
2019-06-16,Outside CBD,7.37,-66.69404517453799
2019-06-17,Outside CBD,9.565,-66.6611909650924
2019-06-18,Outside CBD,23.581666666666667,-66.62833675564681
2019-06-19,Outside CBD,12.285,-66.59548254620123
2019-06-20,Outside CBD,6.59,-66.56262833675565
2019-06-21,Outside CBD,5.645,-66.52977412731006
2019-06-22,Outside CBD,4.66,-66.49691991786447
2019-06-23,Outside CBD,4.05,-66.46406570841889
2019-06-24,Outside CBD,5.308333333333334,-66.43121149897331
2019-06-25,Outside CBD,5.816666666666666,-66.39835728952772
2019-06-26,Outside CBD,14.648333333333333,-66.36550308008214
2019-06-27,Outside CBD,6.5633333333333335,-66.33264887063655
2019-06-28,Outside CBD,8.2716666666666665,-66.29979466119096
2019-06-29,Outside CBD,13.513333333333334,-66.26694045174538
2019-06-30,Outside CBD,6.8549999999999995,-66.2340862422998
2019-07-01,Outside CBD,3.9033333333333333,-66.20123203285421
2019-07-02,Outside CBD,5.503333333333334,-66.16837782340862
2019-07-03,Outside CBD,8.221666666666666,-66.13552361396304
2019-07-04,Outside CBD,25.895,-66.10266940451746
2019-07-05,Outside CBD,13.275,-66.06981519507187
2019-07-06,Outside CBD,12.07,-66.03696098562628
2019-07-07,Outside CBD,6.29,-66.00410677618069
2019-07-08,Outside CBD,6.651666666666666,-65.97125256673512
2019-07-09,Outside CBD,15.365,-65.93839835728953
2019-07-10,Outside CBD,18.171666666666667,-65.90554414784394
2019-07-11,Outside CBD,12.52,-65.87268993839835
2019-07-12,Outside CBD,5.635,-65.83983572895278
2019-07-13,Outside CBD,10.251666666666667,-65.80698151950719
2019-07-14,Outside CBD,9.68,-65.7741273100616
2019-07-15,Outside CBD,4.405,-65.74127310061601
2019-07-16,Outside CBD,6.53,-65.70841889117042
2019-07-17,Outside CBD,10.005,-65.67556468172485
2019-07-18,Outside CBD,5.363333333333333,-65.64271047227926
2019-07-19,Outside CBD,12.298333333333334,-65.60985626283367
2019-07-20,Outside CBD,14.09,-65.57700205338809
2019-07-21,Outside CBD,13.621666666666666,-65.54414784394251
2019-07-22,Outside CBD,5.238333333333333,-65.51129363449692
2019-07-23,Outside CBD,4.836666666666667,-65.47843942505133
2019-07-24,Outside CBD,5.088333333333333,-65.44558521560575
2019-07-25,Outside CBD,9.832222222222223,-65.41273100616016
2019-07-26,Outside CBD,11.5,-65.37987679671458
2019-07-27,Outside CBD,12.764444444444445,-65.347022587269
2019-07-28,Outside CBD,12.004444444444445,-65.3141683778234
2019-07-29,Outside CBD,7.664444444444444,-65.28131416837782
2019-07-30,Outside CBD,19.83,-65.24845995893224
2019-07-31,Outside CBD,15.078888888888889,-65.21560574948666
2019-08-01,Outside CBD,23.997777777777777,-65.18275154004107
2019-08-02,Outside CBD,9.864444444444445,-65.14989733059548
2019-08-03,Outside CBD,10.247777777777777,-65.11704312114989
2019-08-04,Outside CBD,8.30888888888889,-65.08418891170432
2019-08-05,Outside CBD,8.266666666666666,-65.05133470225873
2019-08-06,Outside CBD,12.124444444444444,-65.01848049281314
2019-08-07,Outside CBD,13.305555555555555,-64.98562628336755
2019-08-08,Outside CBD,15.19111111111111,-64.95277207392198
2019-08-09,Outside CBD,8.981111111111112,-64.91991786447639
2019-08-10,Outside CBD,5.433333333333334,-64.8870636550308
2019-08-11,Outside CBD,4.747777777777777,-64.85420944558521
2019-08-12,Outside CBD,7.93,-64.82135523613962
2019-08-13,Outside CBD,9.124444444444444,-64.78850102669405
2019-08-14,Outside CBD,24.203333333333333,-64.75564681724846
2019-08-15,Outside CBD,18.976666666666667,-64.72279260780287
2019-08-16,Outside CBD,7.488888888888889,-64.68993839835728
2019-08-17,Outside CBD,7.5377777777777775,-64.65708418891171
2019-08-18,Outside CBD,12.04875,-64.62422997946612
2019-08-19,Outside CBD,7.982222222222222,-64.59137577002053
2019-08-20,Outside CBD,9.114444444444445,-64.55852156057495
2019-08-21,Outside CBD,18.49,-64.52566735112936
2019-08-22,Outside CBD,7.918888888888889,-64.49281314168378
2019-08-23,Outside CBD,7.2555555555555555,-64.4599589322382
2019-08-24,Outside CBD,5.068888888888889,-64.4271047227926
2019-08-25,Outside CBD,4.528888888888889,-64.39425051334702
2019-08-26,Outside CBD,4.74,-64.36139630390144
2019-08-27,Outside CBD,7.593333333333334,-64.32854209445586
2019-08-28,Outside CBD,6.415555555555556,-64.29568788501027
2019-08-29,Outside CBD,5.161111111111111,-64.26283367556468
2019-08-30,Outside CBD,6.2155555555555555,-64.22997946611909
2019-08-31,Outside CBD,6.403333333333333,-64.19712525667352
2019-09-01,Outside CBD,4.625555555555556,-64.16427104722793
2019-09-02,Outside CBD,4.073333333333333,-64.13141683778234
2019-09-03,Outside CBD,6.576666666666667,-64.09856262833675
2019-09-04,Outside CBD,7.8966666666666665,-64.06570841889118
